Area_profesional;Puesto;Sector;Tipo_rango;Zona;Valor;Dolar_Promedio_Mes
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Min;NEA;$11.883.721;1284
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Max;NEA;$15.754.933;1284
dirección.;Director de Administración  y Finanzas;IT;Min;NEA;$11.883.721;1284
dirección.;Director de Administración  y Finanzas;IT;Max;NEA;$15.754.933;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Min;NEA;$11.883.721;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Max;NEA;$15.754.933;1284
dirección.;Director de Administración  y Finanzas;Manufactura;Min;NEA;$11.358.395;1284
dirección.;Director de Administración  y Finanzas;Manufactura;Max;NEA;$15.342.438;1284
dirección.;Director de Administración  y Finanzas;Retail & Comercio;Min;NEA;$10.563.271;1284
dirección.;Director de Administración  y Finanzas;Retail & Comercio;Max;NEA;$13.953.237;1284
dirección.;Director de Administración  y Finanzas;Servicios;Min;NEA;$10.563.271;1284
dirección.;Director de Administración  y Finanzas;Servicios;Max;NEA;$13.953.237;1284
dirección.;Director de Administración  y Finanzas;Transporte y logística;Min;NEA;$10.035.108;1284
dirección.;Director de Administración  y Finanzas;Transporte y logística;Max;NEA;$13.255.576;1284
dirección.;Director de Administración  y Finanzas;Automotriz;Min;NOA;$11.702.588;1284
dirección.;Director de Administración  y Finanzas;Automotriz;Max;NOA;$15.807.360;1284
dirección.;Director de Administración  y Finanzas;Banca & Serv Financieros;Min;NOA;$12.243.834;1284
dirección.;Director de Administración  y Finanzas;Banca & Serv Financieros;Max;NOA;$16.232.355;1284
dirección.;Director de Administración  y Finanzas;Consumo masivo;Min;NOA;$10.883.407;1284
dirección.;Director de Administración  y Finanzas;Consumo masivo;Max;NOA;$14.376.063;1284
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Min;NOA;$12.243.834;1284
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Max;NOA;$16.232.355;1284
dirección.;Director de Administración  y Finanzas;IT;Min;NOA;$12.243.834;1284
dirección.;Director de Administración  y Finanzas;IT;Max;NOA;$16.232.355;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Min;NOA;$12.243.834;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Max;NOA;$16.232.355;1284
dirección.;Director de Administración  y Finanzas;Manufactura;Min;NOA;$11.702.588;1284
dirección.;Director de Administración  y Finanzas;Manufactura;Max;NOA;$15.807.360;1284
dirección.;Director de Administración  y Finanzas;Retail & Comercio;Min;NOA;$10.883.370;1284
dirección.;Director de Administración  y Finanzas;Retail & Comercio;Max;NOA;$14.376.063;1284
dirección.;Director de Administración  y Finanzas;Servicios;Min;NOA;$10.883.370;1284
dirección.;Director de Administración  y Finanzas;Servicios;Max;NOA;$14.376.063;1284
dirección.;Director de Administración  y Finanzas;Transporte y logística;Min;NOA;$10.339.202;1284
dirección.;Director de Administración  y Finanzas;Transporte y logística;Max;NOA;$13.657.260;1284
dirección.;Director de Administración  y Finanzas;Automotriz;Min;Patagonia;$17.209.689;1284
dirección.;Director de Administración  y Finanzas;Automotriz;Max;Patagonia;$23.246.118;1284
dirección.;Director de Administración  y Finanzas;Banca & Serv Financieros;Min;Patagonia;$18.005.638;1284
dirección.;Director de Administración  y Finanzas;Banca & Serv Financieros;Max;Patagonia;$23.871.110;1284
dirección.;Director de Administración  y Finanzas;Consumo masivo;Min;Patagonia;$16.005.010;1284
dirección.;Director de Administración  y Finanzas;Consumo masivo;Max;Patagonia;$21.141.269;1284
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Min;Patagonia;$18.005.638;1284
dirección.;Director de Administración  y Finanzas;Gas, Petróleo y Minería;Max;Patagonia;$23.871.110;1284
dirección.;Director de Administración  y Finanzas;IT;Min;Patagonia;$18.005.638;1284
dirección.;Director de Administración  y Finanzas;IT;Max;Patagonia;$23.871.110;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Min;Patagonia;$18.005.638;1284
dirección.;Director de Administración  y Finanzas;Lab & Pharma;Max;Patagonia;$23.871.110;1284
dirección.;Director de Administración  y Finanzas;Manufactura;Min;Patagonia;$17.209.689;1284
dirección.;Director de Administración  y Finanzas;Manufactura;Max;Patagonia;$23.246.118;1284
dirección.;Director de Administración  y Finanzas;Retail & Comercio;Min;Patagonia;$16.004.956;1284
dirección.;Director de Administración  y Finanzas;Retail & Comercio;Max;Patagonia;$21.141.269;1284
dirección.;Director de Administración  y Finanzas;Servicios;Min;Patagonia;$16.004.956;1284
dirección.;Director de Administración  y Finanzas;Servicios;Max;Patagonia;$21.141.269;1284
dirección.;Director de Administración  y Finanzas;Transporte y logística;Min;Patagonia;$15.204.709;1284
dirección.;Director de Administración  y Finanzas;Transporte y logística;Max;Patagonia;$20.084.206;1284
dirección.;Director comercial;Automotriz;Min;Buenos Aires;$11.614.120;1284
dirección.;Director comercial;Automotriz;Max;Buenos Aires;$17.735.927;1284
dirección.;Director comercial;Banca & Serv Financieros;Min;Buenos Aires;$12.151.274;1284
dirección.;Director comercial;Banca & Serv Financieros;Max;Buenos Aires;$18.212.602;1284
dirección.;Director comercial;Consumo masivo;Min;Buenos Aires;$10.801.131;1284
dirección.;Director comercial;Consumo masivo;Max;Buenos Aires;$15.340.291;1284
dirección.;Director comercial;Gas, Petróleo y Minería;Min;Buenos Aires;$12.151.296;1284
dirección.;Director comercial;Gas, Petróleo y Minería;Max;Buenos Aires;$18.212.602;1284
dirección.;Director comercial;IT;Min;Buenos Aires;$12.151.264;1284
dirección.;Director comercial;IT;Max;Buenos Aires;$18.212.602;1284
dirección.;Director comercial;Lab & Pharma;Min;Buenos Aires;$12.151.273;1284
dirección.;Director comercial;Lab & Pharma;Max;Buenos Aires;$18.212.602;1284
dirección.;Director comercial;Manufactura;Min;Buenos Aires;$11.614.120;1284
dirección.;Director comercial;Manufactura;Max;Buenos Aires;$17.735.927;1284
dirección.;Director comercial;Retail & Comercio;Min;Buenos Aires;$10.801.134;1284
dirección.;Director comercial;Retail & Comercio;Max;Buenos Aires;$15.340.294;1284
dirección.;Director comercial;Servicios;Min;Buenos Aires;$10.802.160;1284
dirección.;Director comercial;Servicios;Max;Buenos Aires;$15.340.288;1284
dirección.;Director comercial;Transporte y logística;Min;Buenos Aires;$10.801.080;1284
dirección.;Director comercial;Transporte y logística;Max;Buenos Aires;$15.340.298;1284
dirección.;Director comercial;Automotriz;Min;Cuyo;$10.220.426;1284
dirección.;Director comercial;Automotriz;Max;Cuyo;$15.607.616;1284
dirección.;Director comercial;Banca & Serv Financieros;Min;Cuyo;$10.693.121;1284
dirección.;Director comercial;Banca & Serv Financieros;Max;Cuyo;$16.027.090;1284
dirección.;Director comercial;Consumo masivo;Min;Cuyo;$9.504.995;1284
dirección.;Director comercial;Consumo masivo;Max;Cuyo;$13.499.456;1284
dirección.;Director comercial;Gas, Petróleo y Minería;Min;Cuyo;$10.693.140;1284
dirección.;Director comercial;Gas, Petróleo y Minería;Max;Cuyo;$16.027.090;1284
dirección.;Director comercial;IT;Min;Cuyo;$10.693.112;1284
dirección.;Director comercial;IT;Max;Cuyo;$16.027.090;1284
dirección.;Director comercial;Lab & Pharma;Min;Cuyo;$10.693.120;1284
dirección.;Director comercial;Lab & Pharma;Max;Cuyo;$16.027.090;1284
dirección.;Director comercial;Manufactura;Min;Cuyo;$10.220.426;1284
dirección.;Director comercial;Manufactura;Max;Cuyo;$15.607.616;1284
dirección.;Director comercial;Retail & Comercio;Min;Cuyo;$9.504.998;1284
dirección.;Director comercial;Retail & Comercio;Max;Cuyo;$13.499.459;1284
dirección.;Director comercial;Servicios;Min;Cuyo;$9.505.901;1284
dirección.;Director comercial;Servicios;Max;Cuyo;$13.499.453;1284
dirección.;Director comercial;Transporte y logística;Min;Cuyo;$9.504.950;1284
dirección.;Director comercial;Transporte y logística;Max;Cuyo;$13.499.462;1284
dirección.;Director comercial;Automotriz;Min;Litoral-Centro;$9.291.296;1284
dirección.;Director comercial;Automotriz;Max;Litoral-Centro;$14.188.742;1284
