Area_profesional;Puesto;Sector;Tipo_rango;Buenos Aires;Cuyo;Litoral-Centro;NEA;NOA;Patagonia;Dolar_Promedio_Mes
dirección.;Director de Operaciones;Consumo masivo;Min;$10.481.306;$9.223.549;$9.433.175;$8.647.077;$8.909.110;$13.101.633;1284
dirección.;Director de Operaciones;Consumo masivo;Max;$13.844.921;$12.183.530;$12.460.429;$11.422.060;$11.768.183;$17.306.151;1284
dirección.;Director de Operaciones;Gas, Petróleo y Minería;Min;$11.791.470;$10.376.494;$10.612.323;$9.727.963;$10.022.750;$14.739.338;1284
dirección.;Director de Operaciones;Gas, Petróleo y Minería;Max;$18.758.980;$16.507.902;$16.883.082;$15.476.159;$15.945.133;$23.448.725;1284
dirección.;Director de Operaciones;IT;Min;$11.791.470;$10.376.494;$10.612.323;$9.727.963;$10.022.750;$14.739.338;1284
dirección.;Director de Operaciones;IT;Max;$18.758.980;$16.507.902;$16.883.082;$15.476.159;$15.945.133;$23.448.725;1284
dirección.;Director de Operaciones;Lab & Pharma;Min;$11.791.470;$10.376.494;$10.612.323;$9.727.963;$10.022.750;$14.739.338;1284
dirección.;Director de Operaciones;Lab & Pharma;Max;$18.758.980;$16.507.902;$16.883.082;$15.476.159;$15.945.133;$23.448.725;1284
dirección.;Director de Operaciones;Manufactura;Min;$11.270.221;$9.917.794;$10.143.199;$9.297.932;$9.579.688;$14.087.776;1284
dirección.;Director de Operaciones;Manufactura;Max;$18.268.005;$16.075.844;$16.441.205;$15.071.104;$15.527.804;$22.835.006;1284
dirección.;Director de Operaciones;Retail & Comercio;Min;$10.481.246;$9.223.496;$9.433.121;$8.647.028;$8.909.059;$13.101.558;1284
dirección.;Director de Operaciones;Retail & Comercio;Max;$13.844.934;$12.183.542;$12.460.441;$11.422.071;$11.768.194;$17.306.168;1284
dirección.;Director de Operaciones;Servicios;Min;$10.481.246;$9.223.496;$9.433.121;$8.647.028;$8.909.059;$13.101.558;1284
dirección.;Director de Operaciones;Servicios;Max;$13.844.934;$12.183.542;$12.460.441;$11.422.071;$11.768.194;$17.306.168;1284
dirección.;Director de Operaciones;Transporte y logística;Min;$9.957.184;$8.762.322;$8.961.466;$8.214.677;$8.463.606;$12.446.480;1284
dirección.;Director de Operaciones;Transporte y logística;Max;$13.152.687;$11.574.365;$11.837.418;$10.850.967;$11.179.784;$16.440.859;1284
dirección.;Director de marketing;Automotriz;Min;$11.160.802;$9.821.506;$8.928.642;$9.207.662;$9.486.682;$13.951.003;1284
dirección.;Director de marketing;Automotriz;Max;$17.204.939;$15.140.346;$13.763.951;$14.194.075;$14.624.198;$21.506.174;1284
dirección.;Director de marketing;Banca & Serv Financieros;Min;$11.676.989;$10.275.750;$9.341.591;$9.633.516;$9.925.441;$14.596.236;1284
