Area_profesional;Puesto;Sector;Tipo_rango;Buenos Aires;Cuyo;Litoral-Centro;NEA;NOA;Patagonia;Dolar_Promedio_Mes
administración y finanzas.;B Abogado Corporativo;Automotriz;Max;$2.783.139;$2.449.162;$2.560.488;$2.296.090;$2.365.668;$3.478.924;1284
administración y finanzas.;B Abogado Corporativo;Banca & Serv Financieros;Min;$2.102.159;$1.849.900;$1.933.986;$1.734.281;$1.786.835;$2.627.698;1284
administración y finanzas.;B Abogado Corporativo;Banca & Serv Financieros;Max;$3.130.891;$2.755.184;$2.880.420;$2.582.985;$2.661.257;$3.913.614;1284
administración y finanzas.;B Abogado Corporativo;Consumo masivo;Min;$2.114.632;$1.860.877;$1.945.462;$1.744.572;$1.797.438;$2.643.290;1284
administración y finanzas.;B Abogado Corporativo;Consumo masivo;Max;$2.782.883;$2.448.937;$2.560.252;$2.295.878;$2.365.450;$3.478.604;1284
administración y finanzas.;B Abogado Corporativo;Gas, Petróleo y Minería;Min;$2.114.632;$1.860.877;$1.945.462;$1.744.572;$1.797.438;$2.643.290;1284
administración y finanzas.;B Abogado Corporativo;Gas, Petróleo y Minería;Max;$2.782.883;$2.448.937;$2.560.252;$2.295.878;$2.365.450;$3.478.604;1284
administración y finanzas.;B Abogado Corporativo;IT;Min;$2.102.082;$1.849.832;$1.933.915;$1.734.218;$1.786.770;$2.627.602;1284
administración y finanzas.;B Abogado Corporativo;IT;Max;$3.131.031;$2.755.308;$2.880.549;$2.583.101;$2.661.377;$3.913.789;1284
administración y finanzas.;B Abogado Corporativo;Lab & Pharma;Min;$2.102.159;$1.849.900;$1.933.986;$1.734.281;$1.786.835;$2.627.698;1284
administración y finanzas.;B Abogado Corporativo;Lab & Pharma;Max;$3.131.031;$2.755.308;$2.880.549;$2.583.101;$2.661.377;$3.913.789;1284
administración y finanzas.;B Abogado Corporativo;Manufactura;Min;$2.277.340;$2.004.060;$2.095.153;$1.878.806;$1.935.739;$2.846.676;1284
administración y finanzas.;B Abogado Corporativo;Manufactura;Max;$3.130.967;$2.755.251;$2.880.490;$2.583.048;$2.661.322;$3.913.709;1284
administración y finanzas.;B Abogado Corporativo;Retail & Comercio;Min;$2.114.632;$1.860.877;$1.945.462;$1.744.572;$1.797.438;$2.643.290;1284
administración y finanzas.;B Abogado Corporativo;Retail & Comercio;Max;$2.783.139;$2.449.162;$2.560.488;$2.296.090;$2.365.668;$3.478.924;1284
administración y finanzas.;B Abogado Corporativo;Servicios;Min;$1.952.161;$1.717.901;$1.795.988;$1.610.533;$1.659.337;$2.440.201;1284
administración y finanzas.;B Abogado Corporativo;Servicios;Max;$2.609.097;$2.296.005;$2.400.369;$2.152.505;$2.217.732;$3.261.371;1284
administración y finanzas.;B Abogado Corporativo;Transporte y logística;Min;$2.120.268;$1.865.835;$1.950.646;$1.749.221;$1.802.227;$2.650.334;1284
administración y finanzas.;B Abogado Corporativo;Transporte y logística;Max;$2.788.646;$2.454.008;$2.565.554;$2.300.633;$2.370.349;$3.485.807;1284
administración y finanzas.;Analista de Contabilidad;Automotriz;Min;$1.961.507;$1.726.126;$1.804.586;$1.618.243;$1.667.281;$2.451.884;1284
administración y finanzas.;Analista de Contabilidad;Automotriz;Max;$2.581.714;$2.271.908;$2.375.177;$2.129.914;$2.194.457;$3.227.143;1284
administración y finanzas.;Analista de Contabilidad;Banca & Serv Financieros;Min;$1.950.007;$1.716.006;$1.794.006;$1.608.756;$1.657.506;$2.437.509;1284
administración y finanzas.;Analista de Contabilidad;Banca & Serv Financieros;Max;$2.904.350;$2.555.828;$2.672.002;$2.396.089;$2.468.697;$3.630.437;1284
administración y finanzas.;Analista de Contabilidad;Consumo masivo;Min;$1.961.637;$1.726.241;$1.804.706;$1.618.351;$1.667.392;$2.452.047;1284
administración y finanzas.;Analista de Contabilidad;Consumo masivo;Max;$2.581.714;$2.271.908;$2.375.177;$2.129.914;$2.194.457;$3.227.143;1284
administración y finanzas.;Analista de Contabilidad;Gas, Petróleo y Minería;Min;$1.961.637;$1.726.241;$1.804.706;$1.618.351;$1.667.392;$2.452.047;1284
administración y finanzas.;Analista de Contabilidad;Gas, Petróleo y Minería;Max;$2.581.714;$2.271.908;$2.375.177;$2.129.914;$2.194.457;$3.227.143;1284
administración y finanzas.;Analista de Contabilidad;IT;Min;$1.950.059;$1.716.052;$1.794.054;$1.608.798;$1.657.550;$2.437.573;1284
administración y finanzas.;Analista de Contabilidad;IT;Max;$2.904.363;$2.555.839;$2.672.014;$2.396.099;$2.468.709;$3.630.454;1284
administración y finanzas.;Analista de Contabilidad;Lab & Pharma;Min;$1.950.059;$1.716.052;$1.794.054;$1.608.798;$1.657.550;$2.437.573;1284
administración y finanzas.;Analista de Contabilidad;Lab & Pharma;Max;$2.904.363;$2.555.839;$2.672.014;$2.396.099;$2.468.709;$3.630.454;1284
administración y finanzas.;Analista de Contabilidad;Manufactura;Min;$2.112.560;$1.859.053;$1.943.555;$1.742.862;$1.795.676;$2.640.700;1284
administración y finanzas.;Analista de Contabilidad;Manufactura;Max;$2.904.363;$2.555.839;$2.672.014;$2.396.099;$2.468.709;$3.630.454;1284
administración y finanzas.;Analista de Contabilidad;Retail & Comercio;Min;$1.961.637;$1.726.241;$1.804.706;$1.618.351;$1.667.392;$2.452.047;1284
administración y finanzas.;Analista de Contabilidad;Retail & Comercio;Max;$2.581.792;$2.271.977;$2.375.249;$2.129.979;$2.194.524;$3.227.241;1284
administración y finanzas.;Analista de Contabilidad;Servicios;Min;$1.810.833;$1.593.533;$1.665.966;$1.493.937;$1.539.208;$2.263.541;1284
administración y finanzas.;Analista de Contabilidad;Servicios;Max;$2.420.383;$2.129.937;$2.226.752;$1.996.816;$2.057.325;$3.025.479;1284
administración y finanzas.;Analista de Contabilidad;Transporte y logística;Min;$1.966.865;$1.730.841;$1.809.516;$1.622.663;$1.671.835;$2.458.581;1284
administración y finanzas.;Analista de Contabilidad;Transporte y logística;Max;$2.586.916;$2.276.486;$2.379.962;$2.134.205;$2.198.878;$3.233.644;1284
administración y finanzas.;Analista de Auditoría;Automotriz;Min;$2.335.345;$2.055.103;$2.148.517;$1.926.659;$1.985.043;$2.919.181;1284
administración y finanzas.;Analista de Auditoría;Automotriz;Max;$3.464.742;$3.048.973;$3.187.563;$2.858.412;$2.945.031;$4.330.928;1284
administración y finanzas.;Analista de Auditoría;Banca & Serv Financieros;Min;$2.646.841;$2.329.220;$2.435.094;$2.183.644;$2.249.815;$3.308.552;1284
administración y finanzas.;Analista de Auditoría;Banca & Serv Financieros;Max;$3.705.119;$3.260.505;$3.408.709;$3.056.723;$3.149.351;$4.631.399;1284
administración y finanzas.;Analista de Auditoría;Consumo masivo;Min;$2.491.218;$2.192.272;$2.291.920;$2.055.255;$2.117.535;$3.114.022;1284
administración y finanzas.;Analista de Auditoría;Consumo masivo;Max;$3.657.145;$3.218.288;$3.364.574;$3.017.145;$3.108.574;$4.571.432;1284
administración y finanzas.;Analista de Auditoría;Gas, Petróleo y Minería;Min;$2.491.218;$2.192.272;$2.291.920;$2.055.255;$2.117.535;$3.114.022;1284
administración y finanzas.;Analista de Auditoría;Gas, Petróleo y Minería;Max;$3.657.145;$3.218.288;$3.364.574;$3.017.145;$3.108.574;$4.571.432;1284
administración y finanzas.;Analista de Auditoría;IT;Min;$2.646.845;$2.329.224;$2.435.098;$2.183.647;$2.249.819;$3.308.557;1284
administración y finanzas.;Analista de Auditoría;IT;Max;$3.705.118;$3.260.503;$3.408.708;$3.056.722;$3.149.350;$4.631.397;1284
administración y finanzas.;Analista de Auditoría;Lab & Pharma;Min;$2.646.845;$2.329.224;$2.435.098;$2.183.647;$2.249.819;$3.308.557;1284
administración y finanzas.;Analista de Auditoría;Lab & Pharma;Max;$3.705.118;$3.260.503;$3.408.708;$3.056.722;$3.149.350;$4.631.397;1284
administración y finanzas.;Analista de Auditoría;Manufactura;Min;$2.646.845;$2.329.224;$2.435.098;$2.183.647;$2.249.819;$3.308.557;1284
administración y finanzas.;Analista de Auditoría;Manufactura;Max;$3.705.118;$3.260.503;$3.408.708;$3.056.722;$3.149.350;$4.631.397;1284
administración y finanzas.;Analista de Auditoría;Retail & Comercio;Min;$2.491.219;$2.192.273;$2.291.922;$2.055.256;$2.117.536;$3.114.024;1284
administración y finanzas.;Analista de Auditoría;Retail & Comercio;Max;$3.657.144;$3.218.287;$3.364.573;$3.017.144;$3.108.572;$4.571.430;1284
administración y finanzas.;Analista de Auditoría;Servicios;Min;$2.335.345;$2.055.103;$2.148.517;$1.926.659;$1.985.043;$2.919.181;1284
administración y finanzas.;Analista de Auditoría;Servicios;Max;$3.464.742;$3.048.973;$3.187.563;$2.858.412;$2.945.031;$4.330.928;1284
administración y finanzas.;Analista de Auditoría;Transporte y logística;Min;$2.497.020;$2.197.378;$2.297.259;$2.060.042;$2.122.467;$3.121.275;1284
administración y finanzas.;Analista de Auditoría;Transporte y logística;Max;$3.659.408;$3.220.279;$3.366.655;$3.019.011;$3.110.497;$4.574.260;1284
administración y finanzas.;Analista de Control de Gestión;Automotriz;Min;$2.355.115;$2.072.501;$2.166.706;$1.942.970;$2.001.848;$2.943.894;1284
administración y finanzas.;Analista de Control de Gestión;Automotriz;Max;$3.155.269;$2.776.636;$2.902.847;$2.603.097;$2.681.978;$3.944.086;1284
administración y finanzas.;Analista de Control de Gestión;Banca & Serv Financieros;Min;$2.523.431;$2.220.619;$2.321.556;$2.081.830;$2.144.916;$3.154.289;1284
administración y finanzas.;Analista de Control de Gestión;Banca & Serv Financieros;Max;$3.330.772;$2.931.079;$3.064.310;$2.747.887;$2.831.156;$4.163.465;1284
administración y finanzas.;Analista de Control de Gestión;Consumo masivo;Min;$2.355.115;$2.072.501;$2.166.706;$1.942.970;$2.001.848;$2.943.894;1284
administración y finanzas.;Analista de Control de Gestión;Consumo masivo;Max;$3.155.269;$2.776.636;$2.902.847;$2.603.097;$2.681.978;$3.944.086;1284
administración y finanzas.;Analista de Control de Gestión;Gas, Petróleo y Minería;Min;$2.523.431;$2.220.619;$2.321.556;$2.081.830;$2.144.916;$3.154.289;1284
administración y finanzas.;Analista de Control de Gestión;Gas, Petróleo y Minería;Max;$3.330.693;$2.931.010;$3.064.238;$2.747.822;$2.831.089;$4.163.367;1284
administración y finanzas.;Analista de Control de Gestión;IT;Min;$2.691.838;$2.368.817;$2.476.491;$2.220.766;$2.288.062;$3.364.797;1284
administración y finanzas.;Analista de Control de Gestión;IT;Max;$3.506.118;$3.085.384;$3.225.629;$2.892.548;$2.980.201;$4.382.648;1284
administración y finanzas.;Analista de Control de Gestión;Lab & Pharma;Min;$2.523.431;$2.220.619;$2.321.556;$2.081.830;$2.144.916;$3.154.289;1284
administración y finanzas.;Analista de Control de Gestión;Lab & Pharma;Max;$3.330.641;$2.930.964;$3.064.190;$2.747.779;$2.831.045;$4.163.301;1284
administración y finanzas.;Analista de Control de Gestión;Manufactura;Min;$2.691.838;$2.368.817;$2.476.491;$2.220.766;$2.288.062;$3.364.797;1284
administración y finanzas.;Analista de Control de Gestión;Manufactura;Max;$3.506.118;$3.085.384;$3.225.629;$2.892.548;$2.980.201;$4.382.648;1284
administración y finanzas.;Analista de Control de Gestión;Retail & Comercio;Min;$2.355.115;$2.072.501;$2.166.706;$1.942.970;$2.001.848;$2.943.894;1284
administración y finanzas.;Analista de Control de Gestión;Retail & Comercio;Max;$2.980.288;$2.622.654;$2.741.865;$2.458.738;$2.533.245;$3.725.360;1284
administración y finanzas.;Analista de Control de Gestión;Servicios;Min;$2.355.115;$2.072.501;$2.166.706;$1.942.970;$2.001.848;$2.943.894;1284
administración y finanzas.;Analista de Control de Gestión;Servicios;Max;$2.980.288;$2.622.654;$2.741.865;$2.458.738;$2.533.245;$3.725.360;1284
administración y finanzas.;Analista de Control de Gestión;Transporte y logística;Min;$2.514.805;$2.213.029;$2.313.621;$2.074.714;$2.137.585;$3.143.507;1284
administración y finanzas.;Analista de Control de Gestión;Transporte y logística;Max;$3.325.806;$2.926.709;$3.059.742;$2.743.790;$2.826.935;$4.157.258;1284
administración y finanzas.;Analista de Impuestos;Automotriz;Min;$1.913.613;$1.683.979;$1.760.524;$1.578.730;$1.626.571;$2.392.016;1284
administración y finanzas.;Analista de Impuestos;Automotriz;Max;$2.738.073;$2.409.504;$2.519.027;$2.258.910;$2.327.362;$3.422.591;1284
administración y finanzas.;Analista de Impuestos;Banca & Serv Financieros;Min;$1.892.638;$1.665.522;$1.741.227;$1.561.427;$1.608.743;$2.365.798;1284
administración y finanzas.;Analista de Impuestos;Banca & Serv Financieros;Max;$2.890.250;$2.543.420;$2.659.030;$2.384.456;$2.456.712;$3.612.812;1284
administración y finanzas.;Analista de Impuestos;Consumo masivo;Min;$1.913.155;$1.683.577;$1.760.103;$1.578.353;$1.626.182;$2.391.444;1284
administración y finanzas.;Analista de Impuestos;Consumo masivo;Max;$2.738.007;$2.409.446;$2.518.967;$2.258.856;$2.327.306;$3.422.509;1284
administración y finanzas.;Analista de Impuestos;Gas, Petróleo y Minería;Min;$1.892.246;$1.665.177;$1.740.867;$1.561.103;$1.608.409;$2.365.308;1284
administración y finanzas.;Analista de Impuestos;Gas, Petróleo y Minería;Max;$2.890.380;$2.543.535;$2.659.150;$2.384.564;$2.456.823;$3.612.975;1284
administración y finanzas.;Analista de Impuestos;IT;Min;$2.018.875;$1.776.610;$1.857.365;$1.665.572;$1.716.044;$2.523.594;1284
administración y finanzas.;Analista de Impuestos;IT;Max;$3.042.492;$2.677.393;$2.799.092;$2.510.056;$2.586.118;$3.803.115;1284
administración y finanzas.;Analista de Impuestos;Lab & Pharma;Min;$2.050.369;$1.804.325;$1.886.340;$1.691.555;$1.742.814;$2.562.962;1284
administración y finanzas.;Analista de Impuestos;Lab & Pharma;Max;$2.890.250;$2.543.420;$2.659.030;$2.384.456;$2.456.712;$3.612.812;1284
administración y finanzas.;Analista de Impuestos;Manufactura;Min;$2.018.875;$1.776.610;$1.857.365;$1.665.572;$1.716.044;$2.523.594;1284
administración y finanzas.;Analista de Impuestos;Manufactura;Max;$3.042.492;$2.677.393;$2.799.092;$2.510.056;$2.586.118;$3.803.115;1284
administración y finanzas.;Analista de Impuestos;Retail & Comercio;Min;$1.913.678;$1.684.037;$1.760.584;$1.578.784;$1.626.626;$2.392.097;1284
administración y finanzas.;Analista de Impuestos;Retail & Comercio;Max;$2.586.027;$2.275.703;$2.379.144;$2.133.472;$2.198.123;$3.232.533;1284
administración y finanzas.;Analista de Impuestos;Servicios;Min;$1.913.678;$1.684.037;$1.760.584;$1.578.784;$1.626.626;$2.392.097;1284
administración y finanzas.;Analista de Impuestos;Servicios;Max;$2.586.027;$2.275.703;$2.379.144;$2.133.472;$2.198.123;$3.232.533;1284
administración y finanzas.;Analista de Impuestos;Transporte y logística;Min;$2.043.182;$1.798.000;$1.879.727;$1.685.625;$1.736.705;$2.553.977;1284
administración y finanzas.;Analista de Impuestos;Transporte y logística;Max;$2.885.937;$2.539.625;$2.655.062;$2.380.898;$2.453.047;$3.607.421;1284
administración y finanzas.;Analista de Tesorería;Automotriz;Min;$1.974.313;$1.737.396;$1.816.368;$1.628.809;$1.678.166;$2.467.892;1284
administración y finanzas.;Analista de Tesorería;Automotriz;Max;$2.607.667;$2.294.747;$2.399.054;$2.151.325;$2.216.517;$3.259.584;1284
administración y finanzas.;Analista de Tesorería;Banca & Serv Financieros;Min;$2.115.448;$1.861.594;$1.946.212;$1.745.244;$1.798.131;$2.644.310;1284
administración y finanzas.;Analista de Tesorería;Banca & Serv Financieros;Max;$2.752.644;$2.422.326;$2.532.432;$2.270.931;$2.339.747;$3.440.804;1284
administración y finanzas.;Analista de Tesorería;Consumo masivo;Min;$1.974.353;$1.737.430;$1.816.404;$1.628.841;$1.678.200;$2.467.941;1284
administración y finanzas.;Analista de Tesorería;Consumo masivo;Max;$2.607.667;$2.294.747;$2.399.054;$2.151.325;$2.216.517;$3.259.584;1284
administración y finanzas.;Analista de Tesorería;Gas, Petróleo y Minería;Min;$2.115.448;$1.861.594;$1.946.212;$1.745.244;$1.798.131;$2.644.310;1284
administración y finanzas.;Analista de Tesorería;Gas, Petróleo y Minería;Max;$2.752.641;$2.422.324;$2.532.430;$2.270.929;$2.339.745;$3.440.801;1284
administración y finanzas.;Analista de Tesorería;IT;Min;$2.256.556;$1.985.769;$2.076.032;$1.861.659;$1.918.073;$2.820.695;1284
administración y finanzas.;Analista de Tesorería;IT;Max;$2.897.568;$2.549.860;$2.665.762;$2.390.493;$2.462.932;$3.621.960;1284
administración y finanzas.;Analista de Tesorería;Lab & Pharma;Min;$2.115.448;$1.861.594;$1.946.212;$1.745.244;$1.798.131;$2.644.310;1284
administración y finanzas.;Analista de Tesorería;Lab & Pharma;Max;$2.752.644;$2.422.326;$2.532.432;$2.270.931;$2.339.747;$3.440.804;1284
administración y finanzas.;Analista de Tesorería;Manufactura;Min;$2.082.961;$1.833.005;$1.916.324;$1.718.443;$1.770.517;$2.603.701;1284
administración y finanzas.;Analista de Tesorería;Manufactura;Max;$2.897.607;$2.549.894;$2.665.798;$2.390.526;$2.462.966;$3.622.009;1284
administración y finanzas.;Analista de Tesorería;Retail & Comercio;Min;$1.974.353;$1.737.430;$1.816.404;$1.628.841;$1.678.200;$2.467.941;1284
administración y finanzas.;Analista de Tesorería;Retail & Comercio;Max;$2.462.959;$2.167.404;$2.265.922;$2.031.941;$2.093.515;$3.078.699;1284
administración y finanzas.;Analista de Tesorería;Servicios;Min;$1.974.313;$1.737.396;$1.816.368;$1.628.809;$1.678.166;$2.467.892;1284
administración y finanzas.;Analista de Tesorería;Servicios;Max;$2.462.959;$2.167.404;$2.265.922;$2.031.941;$2.093.515;$3.078.699;1284
administración y finanzas.;Analista de Tesorería;Transporte y logística;Min;$2.108.130;$1.855.154;$1.939.479;$1.739.207;$1.791.910;$2.635.162;1284
administración y finanzas.;Analista de Tesorería;Transporte y logística;Max;$2.748.592;$2.418.761;$2.528.705;$2.267.589;$2.336.304;$3.435.741;1284
administración y finanzas.;Analista de Cobranzas;Automotriz;Min;$1.879.701;$1.654.137;$1.729.325;$1.550.754;$1.597.746;$2.349.627;1284
administración y finanzas.;Analista de Cobranzas;Automotriz;Max;$2.317.068;$2.039.020;$2.131.703;$1.911.581;$1.969.508;$2.896.335;1284
administración y finanzas.;Analista de Cobranzas;Banca & Serv Financieros;Min;$1.879.701;$1.654.137;$1.729.325;$1.550.754;$1.597.746;$2.349.627;1284
administración y finanzas.;Analista de Cobranzas;Banca & Serv Financieros;Max;$2.626.041;$2.310.916;$2.415.957;$2.166.484;$2.232.135;$3.282.551;1284
administración y finanzas.;Analista de Cobranzas;Consumo masivo;Min;$1.879.701;$1.654.137;$1.729.325;$1.550.754;$1.597.746;$2.349.627;1284
administración y finanzas.;Analista de Cobranzas;Consumo masivo;Max;$2.317.074;$2.039.026;$2.131.709;$1.911.586;$1.969.513;$2.896.343;1284
administración y finanzas.;Analista de Cobranzas;Gas, Petróleo y Minería;Min;$1.879.701;$1.654.137;$1.729.325;$1.550.754;$1.597.746;$2.349.627;1284
administración y finanzas.;Analista de Cobranzas;Gas, Petróleo y Minería;Max;$2.317.074;$2.039.026;$2.131.709;$1.911.586;$1.969.513;$2.896.343;1284
administración y finanzas.;Analista de Cobranzas;IT;Min;$1.879.701;$1.654.137;$1.729.325;$1.550.754;$1.597.746;$2.349.627;1284
administración y finanzas.;Analista de Cobranzas;IT;Max;$2.626.041;$2.310.916;$2.415.958;$2.166.484;$2.232.135;$3.282.552;1284
administración y finanzas.;Analista de Cobranzas;Lab & Pharma;Min;$2.036.334;$1.791.974;$1.873.427;$1.679.976;$1.730.884;$2.545.418;1284
administración y finanzas.;Analista de Cobranzas;Lab & Pharma;Max;$2.626.041;$2.310.916;$2.415.958;$2.166.484;$2.232.135;$3.282.552;1284
administración y finanzas.;Analista de Cobranzas;Manufactura;Min;$1.879.701;$1.654.137;$1.729.325;$1.550.754;$1.597.746;$2.349.627;1284
administración y finanzas.;Analista de Cobranzas;Manufactura;Max;$2.626.041;$2.310.916;$2.415.958;$2.166.484;$2.232.135;$3.282.552;1284
administración y finanzas.;Analista de Cobranzas;Retail & Comercio;Min;$1.879.701;$1.654.137;$1.729.325;$1.550.754;$1.597.746;$2.349.627;1284
administración y finanzas.;Analista de Cobranzas;Retail & Comercio;Max;$2.317.068;$2.039.020;$2.131.703;$1.911.581;$1.969.508;$2.896.335;1284
administración y finanzas.;Analista de Cobranzas;Servicios;Min;$1.855.604;$1.632.931;$1.707.155;$1.530.873;$1.577.263;$2.319.505;1284
administración y finanzas.;Analista de Cobranzas;Servicios;Max;$2.162.571;$1.903.063;$1.989.565;$1.784.121;$1.838.185;$2.703.214;1284
administración y finanzas.;Analista de Cobranzas;Transporte y logística;Min;$1.888.182;$1.661.600;$1.737.128;$1.557.750;$1.604.955;$2.360.228;1284
administración y finanzas.;Analista de Cobranzas;Transporte y logística;Max;$2.328.234;$2.048.846;$2.141.975;$1.920.793;$1.978.999;$2.910.293;1284
administración y finanzas.;Analista de Administración y finanzas;Automotriz;Min;$1.731.353;$1.523.591;$1.592.845;$1.428.366;$1.471.650;$2.164.191;1284
administración y finanzas.;Analista de Administración y finanzas;Automotriz;Max;$2.607.667;$2.294.747;$2.399.054;$2.151.325;$2.216.517;$3.259.584;1284
administración y finanzas.;Analista de Administración y finanzas;Banca & Serv Financieros;Min;$1.855.088;$1.632.477;$1.706.681;$1.530.447;$1.576.824;$2.318.860;1284
administración y finanzas.;Analista de Administración y finanzas;Banca & Serv Financieros;Max;$2.752.644;$2.422.326;$2.532.432;$2.270.931;$2.339.747;$3.440.804;1284
administración y finanzas.;Analista de Administración y finanzas;Consumo masivo;Min;$1.731.249;$1.523.499;$1.592.749;$1.428.280;$1.471.561;$2.164.061;1284
administración y finanzas.;Analista de Administración y finanzas;Consumo masivo;Max;$2.607.667;$2.294.747;$2.399.054;$2.151.325;$2.216.517;$3.259.584;1284
administración y finanzas.;Analista de Administración y finanzas;Gas, Petróleo y Minería;Min;$1.978.822;$1.741.364;$1.820.517;$1.632.529;$1.681.999;$2.473.528;1284
administración y finanzas.;Analista de Administración y finanzas;Gas, Petróleo y Minería;Max;$2.897.620;$2.549.906;$2.665.811;$2.390.537;$2.462.977;$3.622.025;1284
administración y finanzas.;Analista de Administración y finanzas;IT;Min;$1.978.822;$1.741.364;$1.820.517;$1.632.529;$1.681.999;$2.473.528;1284
administración y finanzas.;Analista de Administración y finanzas;IT;Max;$2.897.620;$2.549.906;$2.665.811;$2.390.537;$2.462.977;$3.622.025;1284
administración y finanzas.;Analista de Administración y finanzas;Lab & Pharma;Min;$1.855.088;$1.632.477;$1.706.681;$1.530.447;$1.576.824;$2.318.860;1284
administración y finanzas.;Analista de Administración y finanzas;Lab & Pharma;Max;$2.752.644;$2.422.326;$2.532.432;$2.270.931;$2.339.747;$3.440.804;1284
administración y finanzas.;Analista de Administración y finanzas;Manufactura;Min;$1.978.821;$1.741.363;$1.820.515;$1.632.527;$1.681.998;$2.473.526;1284
administración y finanzas.;Analista de Administración y finanzas;Manufactura;Max;$2.897.633;$2.549.917;$2.665.822;$2.390.547;$2.462.988;$3.622.041;1284
administración y finanzas.;Analista de Administración y finanzas;Retail & Comercio;Min;$1.731.353;$1.523.590;$1.592.845;$1.428.366;$1.471.650;$2.164.191;1284
administración y finanzas.;Analista de Administración y finanzas;Retail & Comercio;Max;$2.462.959;$2.167.404;$2.265.922;$2.031.941;$2.093.515;$3.078.699;1284
administración y finanzas.;Analista de Administración y finanzas;Servicios;Min;$1.731.353;$1.523.590;$1.592.845;$1.428.366;$1.471.650;$2.164.191;1284
administración y finanzas.;Analista de Administración y finanzas;Servicios;Max;$2.462.959;$2.167.404;$2.265.922;$2.031.941;$2.093.515;$3.078.699;1284
administración y finanzas.;Analista de Administración y finanzas;Transporte y logística;Min;$1.848.678;$1.626.836;$1.700.783;$1.525.159;$1.571.376;$2.310.847;1284
administración y finanzas.;Analista de Administración y finanzas;Transporte y logística;Max;$2.748.592;$2.418.761;$2.528.705;$2.267.589;$2.336.304;$3.435.741;1284
compras, comex y  supply chain.;Gerente de Compras;Automotriz;Min;$8.742.174;$7.693.113;$8.042.800;$7.212.294;$7.430.848;$10.927.718;1284
compras, comex y  supply chain.;Gerente de Compras;Automotriz;Max;$13.104.861;$11.532.278;$12.056.472;$10.811.510;$11.139.132;$16.381.076;1284
compras, comex y  supply chain.;Gerente de Compras;Banca & Serv Financieros;Min;$8.742.165;$7.693.105;$8.042.792;$7.212.286;$7.430.840;$10.927.706;1284
compras, comex y  supply chain.;Gerente de Compras;Banca & Serv Financieros;Max;$13.113.254;$11.539.664;$12.064.194;$10.818.435;$11.146.266;$16.391.568;1284
compras, comex y  supply chain.;Gerente de Compras;Consumo masivo;Min;$6.155.829;$5.417.130;$5.663.363;$5.078.559;$5.232.455;$7.694.786;1284
compras, comex y  supply chain.;Gerente de Compras;Consumo masivo;Max;$9.470.689;$8.334.206;$8.713.034;$7.813.318;$8.050.086;$11.838.361;1284
compras, comex y  supply chain.;Gerente de Compras;Gas, Petróleo y Minería;Min;$8.742.174;$7.693.113;$8.042.800;$7.212.294;$7.430.848;$10.927.718;1284
compras, comex y  supply chain.;Gerente de Compras;Gas, Petróleo y Minería;Max;$13.122.262;$11.547.591;$12.072.481;$10.825.866;$11.153.923;$16.402.828;1284
compras, comex y  supply chain.;Gerente de Compras;IT;Min;$7.575.551;$6.666.485;$6.969.507;$6.249.830;$6.439.218;$9.469.439;1284
compras, comex y  supply chain.;Gerente de Compras;IT;Max;$12.201.161;$10.737.022;$11.225.068;$10.065.958;$10.370.987;$15.251.451;1284
compras, comex y  supply chain.;Gerente de Compras;Lab & Pharma;Min;$7.576.522;$6.667.339;$6.970.400;$6.250.631;$6.440.044;$9.470.653;1284
compras, comex y  supply chain.;Gerente de Compras;Lab & Pharma;Max;$12.202.000;$10.737.760;$11.225.840;$10.066.650;$10.371.700;$15.252.500;1284
compras, comex y  supply chain.;Gerente de Compras;Manufactura;Min;$6.457.220;$5.682.354;$5.940.642;$5.327.207;$5.488.637;$8.071.525;1284
compras, comex y  supply chain.;Gerente de Compras;Manufactura;Max;$10.762.147;$9.470.689;$9.901.175;$8.878.771;$9.147.825;$13.452.684;1284
compras, comex y  supply chain.;Gerente de Compras;Retail & Comercio;Min;$6.155.829;$5.417.130;$5.663.363;$5.078.559;$5.232.455;$7.694.786;1284
compras, comex y  supply chain.;Gerente de Compras;Retail & Comercio;Max;$9.470.689;$8.334.206;$8.713.034;$7.813.318;$8.050.086;$11.838.361;1284
compras, comex y  supply chain.;Gerente de Compras;Servicios;Min;$6.887.760;$6.061.229;$6.336.739;$5.682.402;$5.854.596;$8.609.700;1284
compras, comex y  supply chain.;Gerente de Compras;Servicios;Max;$11.091.960;$9.760.925;$10.204.603;$9.150.867;$9.428.166;$13.864.950;1284
compras, comex y  supply chain.;Gerente de Compras;Transporte y logística;Min;$6.457.220;$5.682.354;$5.940.642;$5.327.207;$5.488.637;$8.071.525;1284
compras, comex y  supply chain.;Gerente de Compras;Transporte y logística;Max;$10.762.147;$9.470.689;$9.901.175;$8.878.771;$9.147.825;$13.452.684;1284
compras, comex y  supply chain.;Gerente de Supply Chain;Automotriz;Min;$8.742.173;$7.693.112;$8.042.799;$7.212.293;$7.430.847;$10.927.716;1284
compras, comex y  supply chain.;Gerente de Supply Chain;Automotriz;Max;$13.113.254;$11.539.664;$12.064.194;$10.818.435;$11.146.266;$16.391.568;1284
compras, comex y  supply chain.;Gerente de Supply Chain;Consumo masivo;Min;$7.103.060;$6.250.693;$6.534.815;$5.860.025;$6.037.601;$8.878.825;1284
