id_fecha_de_agregado;fecha_completa;dia;mes;mes_corto;num_mes;anio
133;"March 4, 2020";4;March;Mar;3;2020
134;"February 28, 2020";28;February;Feb;2;2020
135;"February 25, 2020";25;February;Feb;2;2020
136;"February 21, 2020";21;February;Feb;2;2020
137;"February 16, 2020";16;February;Feb;2;2020
138;"February 14, 2020";14;February;Feb;2;2020
139;"February 8, 2020";8;February;Feb;2;2020
140;"February 7, 2020";7;February;Feb;2;2020
141;"February 5, 2020";5;February;Feb;2;2020
142;"February 2, 2020";2;February;Feb;2;2020
143;"February 1, 2020";1;February;Feb;2;2020
144;"January 31, 2020";31;January;Jan;1;2020
145;"January 28, 2020";28;January;Jan;1;2020
146;"January 17, 2020";17;January;Jan;1;2020
147;"January 15, 2020";15;January;Jan;1;2020
148;"January 10, 2020";10;January;Jan;1;2020
149;"January 8, 2020";8;January;Jan;1;2020
150;"January 3, 2020";3;January;Jan;1;2020
151;"January 1, 2020";1;January;Jan;1;2020
152;"December 27, 2019";27;December;Dec;12;2019
153;"December 26, 2019";26;December;Dec;12;2019
154;"December 20, 2019";20;December;Dec;12;2019
155;"December 13, 2019";13;December;Dec;12;2019
156;"December 6, 2019";6;December;Dec;12;2019
157;"December 5, 2019";5;December;Dec;12;2019
158;"December 3, 2019";3;December;Dec;12;2019
159;"December 1, 2019";1;December;Dec;12;2019
160;"November 29, 2019";29;November;Nov;11;2019
161;"November 27, 2019";27;November;Nov;11;2019
162;"November 22, 2019";22;November;Nov;11;2019
163;"November 20, 2019";20;November;Nov;11;2019
164;"November 18, 2019";18;November;Nov;11;2019
165;"November 15, 2019";15;November;Nov;11;2019
166;"November 12, 2019";12;November;Nov;11;2019
167;"October 1, 2019";1;October;Oct;10;2019
