id_direccion;director;cast
65;;"Kerry Shale"
66;"John Hoffman, Janet Tobias";"Dr. Anthony Fauci, Bono, George W. Bush, Peter Staley"
67;;"Gal Gadot"
68;;"Ashly Burch, Dana Snyder"
69;"Tim Hill";"Jason Lee, David Cross, Cameron Richardson, Jane Lynch, Justin Long, Matthew Gray Gubler"
70;"Walt Becker";"Jason Lee, Tony Hale, Kimberly Williams-Paisley, Josh Green, Bella Thorne, Uzo Aduba"
71;"Ken Cunningham";"Jake Green, Raphael Alejandro, Dana Snyder, Tony Hale, Christian Slater, Trevor Devall"
72;"Robert Stromberg";"Angelina Jolie, Sharlto Copley, Elle Fanning, Sam Riley, Imelda Staunton, Juno Temple"
73;"Alonso Ramirez Ramos, Eddie Trigueros, Dave Wasson";"Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor"
74;;"Isabella Crovetti, Lauren Graham, James Van Der Beek, Jordan Davis, Wanda Sykes, Mitchell Whitfield"
75;;"Issac Ryan Brown, Dara Reneé, Graciela Gomez"
76;;"Don Halbert"
77;;"Cole Caplan, Kristen Bone, Robert Smith, Catherine Disher, Adrian Truss, Len Carlson"
78;;"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria, Pamela Hayden"
79;"Jason Sterman, Leanne Dare";"Apthon Corbin, Louis Gonzales"
80;"Robert Vince";"Tucker Albrizzi, Diedrich Bader, Ameko Eks Mass Carroll, Max Charles, Tim Conway, Jennifer Elise Cox"
81;"Josh Boone";"Shailene Woodley, Ansel Elgort, Laura Dern, Sam Trammell, Nat Wolff, Willem Dafoe"
82;;"Matt Beisner"
83;;"Benjamin Valic, Lily Sanfelippo, Jakari Fraser, Dee Bradley Baker, Melanie Minichino"
84;"P.J. Hogan";"Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas"
85;"Salvador Simó";"Dove Cameron, Sofia Carson, Booboo Stewart, Mitchell Hope, Sarah Jeffery, Melanie Paxson"
86;"Jay Hatcher";"John Barrowman, Ashley Brown, Merle Dandridge, Trevor Dion Nicholas, Jade Ewen, Alton Fitzgerald White"
87;"Katie Bauer Murdock";"Devin E. Haqq"
88;;"Jeremy Irons"
89;"Louis Gonzales";
90;;"Peter Jessop"
91;;"Chip Hailstone, Agnes Hailstone, Sue Aikens, Andy Bassich"
92;;"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen"
93;;"Jeremy Wade"
94;;"Raven-Symoné, Issac Ryan Brown, Navia Robinson, Jason Maybaum, Sky Katz, Anneliese van der Pol"
95;"Rob Marshall";"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush, Kevin R. McNally, Sam Claflin"
96;"Aphton Corbin";"Kaylin Price, Ariana Brown, Aliyah Taylor, Janelle LaSalle, Napoleon Highbrou"
97;;"Peyton Elizabeth Lee, Emma Meisel, Matthew Sato, Wes Tian, Jeffrey Bowyer-Chapman, Mapuana Makia"
98;;"Leela Ladnier, Utkarsh Ambudkar, Roshni Edwards, Kal Penn, Kamran Lucas"
99;;"Kathleen Wilhoite, Clea Lewis, Danny Cooksey, Pamela Segall, April Winchell, Don Adams"
100;;"Rick Robles, Dr. Pol"
101;"Robert Rodriguez, Patrick Osborne";"Billie Eilish, FINNEAS"
102;"Simon Kinberg";"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Sophie Turner, Tye Sheridan"
103;;"Victoria Vosburg"
104;;"Bob Peterson, Ed Asner, Jordan Nagai"
105;"Craig Gillespie";"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, Emily Beecham, Kirby Howell-Baptiste"
106;"Peter Hedges";"Steve Carell, Juliette Binoche, Dane Cook, John Mahoney, Emily Blunt, Alison Pill"
107;"Napoleon Dumo";"Txunamy Oriz, Natalie Peyser, Dara Reneé, Frankie Rodriguez, Julia Lester, Ruth Righi"
108;"Drew Pearce";"Ben Kingsley, Scoot McNairy, Lester Speight, Sam Rockwell, Matt Gerald, Allen Maldonado"
109;"Frederik Du Chau";"Jason Lee, Amy Adams, Jim Belushi, Peter Dinklage, Patrick Warburton, Alex Neuberger"
110;;"Dr. Susan Kelleher, Art Edmonds"
111;;"Dylan Schombing, Áine Sunderland, Nahanni Mitchell, Nicholas Holmes"
112;;"Mocean Melvin"
113;"Stefen Fangmeier";"Ed Speleers, Jeremy Irons, Sienna Guillory, Robert Carlyle, John Malkovich, Garrett Hedlund"
114;;"Tracee Ellis Ross"
115;"Tim Story";"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Kerry Washington"
116;"Bryan Singer";"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen, James Marsden"
117;;"Alfonso Ribeiro"
118;;"Ramone Hamilton, Gabriella Graves, Maxwell Simkins, Yvette Nicole Brown"
119;;"Bill Farmer, Corey Burton"
120;;"Kylie Cantrall, Maxwell Donovan, Callan Farris, Coco Christo, Valery Ortiz, Nathan Lovejoy"
121;"Alex Zamm";"George Lopez, Odette Yustman, Miguel Ferrer, Ernie Hudson, Loretta Devine, Jon Huertas"
122;"Lev L. Spiro";"George Lopez, Odette Annable, Ernie Hudson, Miguel Ferrer, Kay Panabaker, Tom Kenny"
123;;"Edward Marcoux"
124;"Chris Columbus";"Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein, Polly Holliday, Lisa Jakub"
125;;"Dustin Rubin"
126;"Mark J Davis";"Steven French"
127;"Peter Hewitt";"Breckin Meyer, Jennifer Love Hewitt, Stephen Tobolowsky, Bill Murray, Evan Arnold, Mark Lawrence"
128;;"Matthew Géczy, Kaycie Chase, Bill Farmer, Sylvain Caruso"
129;;"Sullivan Jones"
130;;"Vanessa Williams, Megan Hilty, Jet Jurgensmeyer, Christian Simon"
131;;"Bret Iwan, Kaitlyn Robrock, Bill Farmer, Tony Anselmo, Tress MacNeille, Harvey Guillén"
132;;"Tress MacNeille, Nika Futterman, Kaitlyn Robrock"
133;;"Robin Roberts"
134;"Carlos Saldanha";"Ray Romano, John Leguizamo, Denis Leary, Seann William Scott, Josh Peck, Queen Latifah"
135;;"Valerie Taylor, Dr. Sylvia Earle, Jeremiah Sullivan, Wendy Benchley, Jean Michel Cousteau, Michele Hall"
136;"Phil Stebbing";"Billy Lloyd"
137;;"Ted Stewart"
138;"Kurt Mattila";"Eddie Braun"
139;"Barry Cook, Neil Nightingale";"John Leguizamo, Justin Long, Tiya Sircar, Skyler Stone, Angourie Rice, Charlie Rowe"
140;;"Robert Davi"
141;;"Paget Brewster"
142;;"Sarah-Nicole Robles, Wendie Malick, Alex Hirsch, Tati Gabrielle, Issac Brown, Mae Whitman"
143;;"Ben Valic, Melanie Minichino"
144;;"Justin Felbinger, Fiona Bishop, Ivy Bishop, Issac Ryan Brown, Sam Lavagnino, Dee Bradley Baker"
145;;"Josh Peck, Carra Patterson, Lyndsy Fonseca, Vanessa Lengies, Brandon Jay Mclaren, Anthony Ruivivar"
146;;"Keston John"
147;"Andy Seestedt";"Dan Nachtrab"
148;"Cameron Crowe";"Matt Damon, Scarlett Johansson, Thomas Haden Church, Patrick Fugit, Colin Ford, Elle Fanning"
149;;"Jason Hildebrandt"
150;"Kevin Bachar";"Brain Cade"
151;;"Tiffany Thornton, Sterling Knight, Brandon Mychal Smith, Doug Brochu, Allisyn Ashley Arm"
152;"Michael Mayer";"Alison Lohman, Tim McGraw, Maria Bello, Ryan Kwanten, Danny Pino, Dallas Roberts"
153;"Thomas Astruc";"Cristina 'Vee" Valenzuela, Bryce Papenbrook, Keith Silverstein, Carrie Keranen, Todd Haberkorn, Max Mittelman"
154;"Sigmund Spath Jr.";"Kina Scollay, Ingrid Visser, Ray Robertson"
155;"Mark Woodward";"Mocean Melvin"
156;"Sally Aitken";"Chris Hemsworth"
157;"Jacob Cobi Benattia, Pete Berg, James Buchanan";
158;"Mark Woodward";"Dan Nachtrab"
159;;"Eric Meyers"
160;;"Bobby Bones"
161;;"Bret Iwan, Russi Taylor, Bill Farmer, Daniel Ross, Tress MacNeile"
162;;"Billy Crystal, John Goodman, Ben Feldman, Mindy Kaling, Henry Winkler, Lucas Neff"
163;"David Silverman";"Dan Castellaneta, Nancy Cartwright, Yeardley Smith"
164;;"Raven-Symoné , Issac Brown, Navia Robinson, Jason Maybaum, Sky Katz, Anneliese van der Pol"
165;"David Mickey Evans";"Art La Fleur, Tom Guiry, Mike Vitar, Patrick Renna, Chauncey Leopardi, Marty York"
166;"David Mickey Evans";"Max Lloyd-Jones, James Willson, Samantha Burton, Brett Kelly, James Earl Jones, Cole Evan Weiss"
167;"Chris Columbus";"Elisabeth Shue, Maia Brewton, Keith Coogan, Anthony Rapp, Calvin Levels, Vincent Phillip D'Onofrio"
168;;"Bear Grylls"
169;;"Tony Hale, Kristen Schaal, Mystic Inscho, Seth Carr, Marta Kessler, Emmy DeOliveira"
170;"David Gelb";"Wolfgang Puck"
171;;"Tyler Nathan, Jacob Mazeral, Ava Ro, Scott Gorman, Athena Karkanis"
